Point1,Point2,Point3,Point4
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.33995765,1.269199,1.269199,2.538398
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.20849845,6.8875513,6.8875513,13.7751026
12.638209,3.110835,3.110835,6.22167
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,2.8818579,2.8818579,5.7637158
27.742613,0,0,0
0,0,0,0
0,0,0,0
14.189639,23.847872,23.847872,47.695744
0,0.41856432,0.41856432,0.83712864
0,0.38396755,0.38396755,0.7679351
7.0194726,6.573821,6.573821,13.147642
1.8628215,3.7335327,3.7335327,7.4670654
9.847579,35.556267,35.556267,71.112534
10.099729,11.33221,11.33221,22.66442
4.284258,4.193029,4.193029,8.386058
7.8272524,1.9627967,1.9627967,3.9255934
9.25629,0.29636315,0.29636315,0.5927263
4.379654,0.76651174,0.76651174,1.53302348
5.340155,0.16040008,0.16040008,0.32080016
0,1.1433625,1.1433625,2.286725
4.4499993,2.3388758,2.3388758,4.6777516
1.945106,0.9338244,0.9338244,1.8676488
6.0357137,36.154797,36.154797,72.309594
8.937247,13.949845,13.949845,27.89969
4.6573076,1.1188738,1.1188738,2.2377476
11.265129,5.7902336,5.7902336,11.5804672
0.22389051,5.854051,5.854051,11.708102
1.4851087,1.4873961,1.4873961,2.9747922
4.284937,4.718496,4.718496,9.436992
2.3978505,8.849526,8.849526,17.699052
2.3189752,0.37618682,0.37618682,0.75237364
5.5648923,1.9578775,1.9578775,3.915755
2.917817,1.3116,1.3116,2.6232
10.000138,5.9356527,5.9356527,11.8713054
7.12851,1.1188738,1.1188738,2.2377476
8.895843,7.460281,7.460281,14.920562
0.22296123,4.7591643,4.7591643,9.5183286
0.18150344,1.7538851,1.7538851,3.5077702
0,1.4422737,1.4422737,2.8845474
0,0,0,0
0,0,0,0
10.900627,2.158299,2.158299,4.316598
0,0.10582458,0.10582458,0.21164916
0,0,0,0
0,0,0,0
0,0,0,0
0.18693626,0,0,0
